O membership,1 membership,2 membership,3 membership,4 membership,5 membership,6 membership,7 membership,8 membership,9 membership,centre x,centre y,radius
0,0,0,0,0,0,0,1,0,0,15,12,11
0,0,1,0,0,0,0,0,0,0,12,16,12
0,1,0,0,0,0,0,0,0,0,13,14,11
1,0,0,0,0,0,0,0,0,0,13,13,10
0,0,0,0,1,0,0,0,0,0,14,14,10
0,1,0,0,0,0,0,0,0,0,14,14,10
0,0,0,0,1,0,0,0,0,0,13,15,11
0,0,0,0,0,0,0,0,0,1,15,17,11
0,0,0,0,0,1,0,0,0,0,11,15,12
0,0,0,0,0,0,0,0,0,1,17,15,11
1,0,0,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,1,0,0,0,12,12,10
0,0,0,0,0,0,0,0,0,1,16,15,10
1,0,0,0,0,0,0,0,0,0,14,15,10
0,1,0,0,0,0,0,0,0,0,13,13,10
0,0,0,0,0,1,0,0,0,0,13,14,11
0,0,0,0,0,0,0,0,0,1,15,14,10
0,0,0,0,0,0,0,1,0,0,15,11,11
0,0,0,1,0,0,0,0,0,0,13,14,12
0,0,0,0,1,0,0,0,0,0,14,16,10
0,0,0,0,0,0,0,0,0,1,15,14,11
0,0,0,0,0,0,1,0,0,0,12,14,10
0,0,0,0,0,0,1,0,0,0,12,13,11
0,0,0,0,0,1,0,0,0,0,14,15,13
0,0,0,0,1,0,0,0,0,0,14,14,11
1,0,0,0,0,0,0,0,0,0,13,14,11
0,0,0,0,0,0,0,1,0,0,17,12,11
0,0,0,0,1,0,0,0,0,0,14,14,10
1,0,0,0,0,0,0,0,0,0,14,13,10
0,1,0,0,0,0,0,0,0,0,13,13,10
0,0,0,1,0,0,0,0,0,0,15,11,10
0,1,0,0,0,0,0,0,0,0,14,14,10
0,0,0,1,0,0,0,0,0,0,14,12,11
0,0,0,0,1,0,0,0,0,0,12,14,12
0,0,0,0,0,0,0,1,0,0,15,14,12
0,0,1,0,0,0,0,0,0,0,14,13,13
0,0,0,0,0,0,0,1,0,0,15,12,11
0,1,0,0,0,0,0,0,0,0,14,13,10
